"","Dia setmana","Mes de any","Dia de mes","Hora de dia","Desc. Tipus vehicle implicat","Descripció sexe","Edat","Descripció tipus persona","Descripció victimització"
"450","2",4,13,15,"11","1","41","0","0"
"451","3",6,9,23,"11","0","64","0","0"
"452","6",9,18,2,"6","0","43","0","0"
"453","4",1,15,7,"11","0","55","0","0"
"454","2",9,7,13,"11","1","44","1","0"
"455","2",9,7,13,"11","0","48","0","0"
"456","5",11,26,9,"11","0","20","0","0"
"457","0",10,17,9,"11","0","22","0","0"
"458","4",3,4,20,"17","1","26","1","0"
"459","4",3,4,20,"17","0","27","0","0"
"460","4",5,6,14,"11","1","46","0","0"
"461","3",2,18,14,"11","0","39","0","0"
"462","1",6,28,19,"11","0","51","0","0"
"463","1",1,26,7,"11","0","33","0","0"
"464","1",1,26,7,"11","0","46","0","0"
"465","0",5,30,17,"17","0","53","0","0"
"466","1",9,6,19,"17","1","22","1","0"
"467","1",9,6,19,"17","0","24","0","0"
"468","3",6,23,19,"17","0","25","0","0"
"469","0",11,7,5,"11","0","34","0","0"
"470","0",11,7,5,"17","0","37","1","0"
"471","0",11,7,5,"17","0","44","0","0"
"472","2",7,20,19,"11","0","48","0","0"
"473","2",3,30,20,"11","1","37","0","0"
"474","0",2,8,19,"17","1","33","1","0"
"475","2",6,1,9,"11","0","47","0","0"
"476","3",7,14,15,"17","1","22","2","0"
"477","3",7,14,15,"17","1","4","2","0"
"478","3",7,28,14,"10","0","42","2","0"
"479","0",10,17,7,"11","0","33","0","0"
"480","0",11,14,19,"11","0","29","0","0"
"481","2",2,17,9,"11","1","33","0","0"
"482","1",1,19,17,"17","1","19","2","0"
"483","3",2,11,8,"11","1","30","0","0"
"484","1",7,12,8,"3","0","25","0","0"
"485","0",7,25,16,"11","0","72","0","0"
"486","0",10,10,10,"17","1","54","1","0"
"487","0",10,10,10,"17","0","26","0","0"
"488","0",10,10,10,"17","0","53","0","0"
"489","1",3,1,9,"11","0","19","0","0"
"490","1",2,16,19,"11","1","55","0","0"
"491","0",1,18,13,"11","1","35","0","0"
"492","3",4,28,10,"11","0","33","0","0"
"493","3",4,28,9,"11","0","39","0","0"
"494","5",4,16,13,"17","0","50","1","0"
"495","4",4,8,8,"11","1","40","0","0"
"496","3",7,14,15,"11","0","19","0","0"
"497","1",7,12,19,"17","0","45","0","0"
"498","4",4,22,19,"11","0","18","1","0"
"499","6",12,18,16,"6","0","24","0","0"
"500","6",12,18,16,"6","0","26","1","0"
"501","2",1,6,18,"11","0","30","0","0"
"502","5",6,11,6,"17","0","54","1","0"
"503","3",10,13,14,"11","0","23","0","0"
"504","0",2,1,13,"9","1","72","2","0"
"505","2",3,16,15,"17","1","48","2","0"
"506","3",4,14,16,"11","1","11","1","0"
"507","3",4,14,16,"11","0","39","0","0"
"508","1",5,17,14,"11","0","23","0","0"
"509","0",9,19,20,"11","1","26","0","0"
"510","3",5,26,5,"0","0","33","1","0"
"511","5",7,2,16,"6","0","59","0","0"
"512","3",12,22,19,"11","0","40","0","0"
"513","1",6,7,20,"11","0","32","0","0"
"514","1",6,7,20,"11","0","46","0","0"
"515","3",12,1,14,"3","0","32","0","0"
"516","1",5,24,16,"11","1","55","0","0"
"517","1",10,11,12,"6","1","19","0","0"
"518","4",4,29,14,"11","1","33","2","0"
"519","4",4,29,14,"11","0","49","0","0"
"520","2",9,7,8,"6","1","24","0","0"
"521","3",8,25,11,"0","1","57","1","0"
"522","0",10,24,18,"11","0","41","0","0"
"523","6",8,7,19,"17","1","19","1","0"
"524","3",5,26,10,"11","0","21","0","0"
"525","4",7,1,8,"6","0","33","0","0"
"526","4",5,13,7,"9","0","49","0","0"
"527","4",5,13,7,"9","0","62","1","0"
"528","4",5,13,7,"17","1","33","0","0"
"529","4",9,2,13,"17","0","47","0","0"
"530","4",6,17,13,"11","0","46","0","0"
"531","3",10,20,15,"0","1","69","1","0"
"532","1",8,16,17,"11","0","53","0","0"
"533","0",4,11,14,"11","0","32","0","0"
"534","3",10,13,5,"0","1","58","1","0"
"535","3",10,13,5,"0","0","47","0","0"
"536","3",10,13,5,"5","0","47","0","0"
"537","2",7,27,14,"11","0","40","0","0"
"538","2",10,19,7,"11","1","38","0","0"
"539","3",11,3,18,"17","1","9","2","0"
"540","3",3,17,18,"11","0","28","0","0"
"541","5",11,5,11,"11","1","39","0","0"
"542","5",2,20,0,"11","0","46","0","0"
"543","3",3,3,16,"11","0","45","0","0"
"544","5",12,17,1,"17","0","30","0","0"
"545","1",2,23,12,"11","0","21","0","0"
"546","1",3,8,10,"11","1","35","0","0"
"547","2",5,4,8,"3","1","48","0","0"
"548","2",5,25,13,"17","1","19","1","0"
"549","2",5,25,13,"17","1","2","1","0"
"550","0",5,30,8,"11","0","31","0","0"
"551","4",10,28,19,"9","0","37","0","0"
"552","4",10,28,19,"17","1","45","1","0"
"553","0",3,7,14,"11","0","24","0","0"
"554","4",4,22,12,"17","1","28","0","0"
"555","4",4,22,12,"17","1","5","1","0"
"556","1",4,26,18,"17","1","18","1","0"
"557","1",4,26,18,"17","1","52","0","0"
"558","3",6,16,15,"11","1","51","0","0"
"559","2",3,2,15,"11","0","55","0","0"
"560","4",7,29,15,"17","0","28","0","0"
"561","5",3,26,12,"6","1","42","0","0"
"562","5",3,26,12,"6","1","44","1","0"
"563","2",10,12,16,"17","0","50","0","0"
"564","3",5,12,9,"11","1","42","0","0"
"565","3",5,12,9,"11","0","33","0","0"
"566","5",5,14,9,"17","1","30","1","0"
"567","5",5,14,9,"17","1","40","0","0"
"568","5",5,14,9,"17","1","41","0","0"
"569","5",5,14,9,"17","1","6","1","0"
"570","5",5,14,9,"17","0","4","1","0"
"571","4",5,27,20,"17","1","19","1","0"
"572","4",5,27,20,"17","0","21","0","0"
"573","1",12,13,13,"17","1","49","0","0"
"574","3",12,22,10,"11","1","37","0","0"
